Task,GraspType,Object,Reponses,Instruction
Pick,Writing,Tweezers,12,How would you pick tweezers that is placed on a flat surface?
Pick,Lateral,Vase,3,How would you pick a vase that is placed on a flat surface?
Pick,MediumWrap,Vase,16,How would you pick a vase that is placed on a flat surface?
Pick,Tripod,Vase,1,How would you pick a vase that is placed on a flat surface?
Pick,Writing,Vase,0,How would you pick a vase that is placed on a flat surface?
Pick,Lateral,Wallet,1,How would you pick a wallet that is placed on a flat surface?
Pick,MediumWrap,Wallet,8,How would you pick a wallet that is placed on a flat surface?
Pick,Tripod,Wallet,10,How would you pick a wallet that is placed on a flat surface?
Pick,Writing,Wallet,1,How would you pick a wallet that is placed on a flat surface?
Pick,Lateral,Walnut,3,How would you pick a walnut that is placed on a flat surface?
Pick,MediumWrap,Walnut,1,How would you pick a walnut that is placed on a flat surface?
Pick,Tripod,Walnut,12,How would you pick a walnut that is placed on a flat surface?
Pick,Writing,Walnut,4,How would you pick a walnut that is placed on a flat surface?
Pick,Lateral,Wine bottle,3,How would you pick a wine bottle that is placed on a flat surface?
Pick,MediumWrap,Wine bottle,16,How would you pick a wine bottle that is placed on a flat surface?
Pick,Tripod,Wine bottle,1,How would you pick a wine bottle that is placed on a flat surface?
Pick,Writing,Wine bottle,0,How would you pick a wine bottle that is placed on a flat surface?
Pick,Lateral,Wine glas,6,How would you pick a wine glass that is placed on a flat surface?
Pick,MediumWrap,Wine glas,12,How would you pick a wine glass that is placed on a flat surface?
Pick,Tripod,Wine glas,0,How would you pick a wine glass that is placed on a flat surface?
Pick,Writing,Wine glas,1,How would you pick a wine glass that is placed on a flat surface?
Pick,Lateral,Chestnut,0,How would you pick a chestnut that is placed on a flat surface?
Pick,MediumWrap,Chestnut,2,How would you pick a chestnut that is placed on a flat surface?
Pick,Tripod,Chestnut,15,How would you pick a chestnut that is placed on a flat surface?
Pick,Writing,Chestnut,3,How would you pick a chestnut that is placed on a flat surface?
Pick,Lateral,Whisk,3,How would you pick a whisk that is placed on a flat surface?
Pick,MediumWrap,Whisk,2,How would you pick a whisk that is placed on a flat surface?
Pick,Tripod,Whisk,9,How would you pick a whisk that is placed on a flat surface?
Pick,Writing,Whisk,5,How would you pick a whisk that is placed on a flat surface?
